input1;0.185981;0.198395;0.170666;0.181507;0.211865;0.144868;0.198641;0.143235;0.194548;0.198109;0.172901;0.100659;0.176355;0.176754;0.140421;0.157572;0.181496;0.160897;0.206249;0.18558
input2;0.172167;0.197682;0.171245;0.148779;0.195927;0.227327;0.254048;0.197373;0.196979;0.155477;0.156439;0.228481;0.168021;0.182872;0.172039;0.192407;0.189516;0.218314;0.161405;0.145823
input3;0.179723;0.212117;0.208146;0.253273;0.213362;0.174579;0.172018;0.16564;0.227432;0.195006;0.126444;0.21965;0.183595;0.125346;0.162026;0.144403;0.211122;0.126712;0.141503;0.197839
input4;0.150903;0.140241;0.184049;0.170142;0.187088;0.121546;0.236581;0.192203;0.13337;0.161169;0.156573;0.179463;0.142367;0.167593;0.164938;0.21495;0.154557;0.19073;0.202025;0.167851
input5;0.168802;0.168606;0.168643;0.163617;0.181627;0.177828;0.141693;0.134666;0.171797;0.175727;0.157074;0.145405;0.185903;0.153982;0.149844;0.138962;0.159056;0.142328;0.179477;0.147399
input6;0.216542;0.177637;0.156091;0.165763;0.157059;0.139082;0.139228;0.15863;0.145388;0.140037;0.122402;0.19038;0.172544;0.143744;0.0834243;0.144919;0.116838;0.140109;0.127047;0.126912
input7;0.161673;0.17575;0.165147;0.192785;0.122144;0.158712;0.156368;0.170231;0.118953;0.136662;0.136004;0.103507;0.118169;0.200021;0.155616;0.161414;0.170711;0.132405;0.140779;0.136345
input8;0.208652;0.15037;0.158078;0.156838;0.17949;0.1542;0.178776;0.131366;0.157656;0.144512;0.171023;0.119478;0.124085;0.0823196;0.139766;0.095301;0.16556;0.122575;0.178565;0.119396
input9;0.186943;0.167141;0.192854;0.175837;0.195598;0.123201;0.132341;0.154616;0.127219;0.122995;0.104589;0.143074;0.140687;0.173705;0.144064;0.0971119;0.121557;0.12494;0.140098;0.174561
input10;0.227143;0.150124;0.106458;0.2008;0.150684;0.156652;0.138717;0.16697;0.206526;0.136439;0.114261;0.149634;0.165556;0.160457;0.136443;0.150476;0.131968;0.108617;0.140631;0.146843
input11;0.158805;0.182497;0.200299;0.114189;0.201781;0.158831;0.169754;0.111005;0.114734;0.146859;0.153867;0.168831;0.119529;0.147351;0.103863;0.142636;0.132965;0.11672;0.125958;0.1518
input12;0.159927;0.167672;0.176438;0.166143;0.149902;0.100449;0.160409;0.169625;0.155861;0.147442;0.162547;0.181394;0.149758;0.125099;0.159357;0.114445;0.106186;0.132961;0.142322;0.117314
input13;0.12646;0.137365;0.166029;0.123081;0.195208;0.176797;0.173046;0.185886;0.194378;0.161284;0.161975;0.0962633;0.111664;0.149902;0.108524;0.111777;0.146866;0.125466;0.13557;0.146603
input14;0.161524;0.162926;0.181652;0.129516;0.220634;0.170689;0.162021;0.1445;0.180141;0.151184;0.170068;0.151903;0.15841;0.142691;0.106947;0.140973;0.137844;0.189646;0.134519;0.132793
input15;0.243322;0.15343;0.0941607;0.114839;0.150424;0.17747;0.184095;0.163087;0.135453;0.166415;0.166233;0.11179;0.107054;0.157968;0.14774;0.134944;0.127893;0.117834;0.153478;0.111753
input16;0.214572;0.285712;0.269739;0.240973;0.223095;0.181201;0.1651;0.208648;0.175157;0.20872;0.159136;0.139037;0.19111;0.207468;0.186306;0.191382;0.208257;0.201456;0.19708;0.222379
input17;0.233571;0.268033;0.321883;0.188927;0.138814;0.193896;0.158713;0.179386;0.185004;0.140733;0.184676;0.181676;0.135893;0.192251;0.174529;0.195931;0.15241;0.226522;0.17506;0.199871
input18;0.403941;0.358975;0.237674;0.307371;0.19136;0.207746;0.141765;0.16544;0.183214;0.154391;0.188176;0.216418;0.175379;0.145119;0.176202;0.247354;0.202024;0.21588;0.178713;0.167306
input19;0.402951;0.397328;0.248832;0.179394;0.224253;0.18909;0.173145;0.143849;0.144371;0.179767;0.171436;0.188554;0.154736;0.202289;0.20921;0.167142;0.114662;0.130057;0.17154;0.192545
input20;0.383622;0.396273;0.300869;0.228793;0.23901;0.206372;0.164118;0.140921;0.157953;0.169268;0.151185;0.163888;0.161477;0.175774;0.179204;0.215505;0.169303;0.172607;0.183255;0.176132
input21;0.0998977;0.119142;0.0569725;0.0159067;0.0515796;0.0663362;0.0484236;0.0359617;0.0370348;0.0531683;0.0915644;0.0491201;0.0691915;0.0882726;0.0794099;0.101304;0.0786122;0.0812866;0.0995727;0.125234
input22;0.086709;0.11341;0.0616812;0.0386124;0.071074;0.0375056;0.0678121;0.0663235;0.0760637;0.0505128;0.0443765;0.0510684;0.0682565;0.072986;0.0820682;0.0734995;0.0506494;0.082475;0.0878885;0.0865869
input23;0.102056;0.100375;0.144493;0.0387362;0.0202716;0.0558126;0.0783253;0.0757221;0.0350323;0.0634187;0.0683852;0.0622663;0.0961731;0.0733119;0.0921187;0.0677593;0.108969;0.103979;0.103552;0.118023
input24;0.109143;0.0883918;0.127255;0.0615524;0.0537068;0.0358896;0.0494328;0.0273462;0.0453611;0.0686422;0.0635275;0.0497775;0.0760519;0.0913185;0.0861477;0.0852649;0.0621057;0.125783;0.0769506;0.0676538
