input1;95028;95912;94642;95858;95725;95854;96731;96818;97081
;97437;98633;96279;96950;97804;95550;95330;96364;97008
;95570;94912;95819;94425;96250;95551;96294;95187;96130
;95848;95586;96142;94957;96620;97218;95813;95991;94757
;94973;95358;95054;96260;95511;97026;95650;95339;96200
;95553;97877;96742;96271;96151;96318;95911;97740;95456
;95211;95629;96537;95190;95461;95980;95952;95494;96118
;95715;94658;95248;96719;95677;95284;95986;94530;95649
;95384;94805;97193;97790;95916;95579;95083;97230;96467

input2;91996;91461;90717;94923;91593;92502;93397;92219;93520
;91790;93752;90876;91650;92156;91725;92373;92480;91820
;91425;92857;91523;91333;93561;92978;92873;93164;92020
;92430;92561;91236;92635;92182;92508;92048;91744;93822
;90986;90960;91660;91389;91444;93448;92647;92022;93139
;91542;91533;90564;91779;91089;91826;91642;91356;91764
;92157;91791;90911;91035;92171;91996;91313;91920;92981
;92538;92103;91995;93494;93268;92693;91799;91400;93265
;91858;91749;91170;91510;91045;91832;92139;92547;91596

input3;95671;97259;97718;95284;97876;96980;97859;96992;97165
;95999;96190;96788;96270;95818;96295;98275;97130;97197
;96223;95659;96512;95704;96629;96332;95836;96554;98228
;96747;97016;95054;95869;95549;96615;95393;95043;96885
;96371;95476;97358;98040;97734;96744;97347;98307;97009
;96639;95374;95624;95442;96146;97327;96425;97299;98584
;96745;96092;97184;95743;97085;96170;97374;95636;98214
;95077;97779;98149;97405;95025;96689;96600;96933;97913
;96186;96963;97750;97023;96634;96917;97619;98468;96216

input4;100920;99160;100433;102093;103064;101934;102256;103651;103708
;100012;100745;101252;100800;101351;100438;103361;103332;100214
;100772;101422;101434;101656;100616;101278;100356;100495;101262
;101208;99508;101071;99815;99543;100070;102184;99906;102228
;99744;100980;100903;100688;101498;100766;100629;101228;99886
;100481;99917;100935;101701;101309;101314;101916;101086;99275
;102806;100237;100674;102687;99269;100548;100678;100791;100010
;99812;99729;100986;102386;101138;100550;100190;100784;101377
;101095;101152;100721;98918;99234;100137;99417;100972;100936

input5;98114;97276;97806;99412;99055;97705;97748;98408;97693
;97529;97216;99220;97156;97699;97876;97766;98385;98497
;98439;97623;97930;98613;97297;97686;97940;97229;98403
;98089;97919;96880;97136;97952;97157;97218;97809;98204
;96689;99718;98346;98889;97099;96697;97885;98061;97952
;97382;96374;96669;96332;98402;97299;98479;97751;98069
;98044;97556;97940;97391;97366;97771;97464;97796;97556
;97741;98996;96631;97414;96848;97712;96578;97862;98882
;97752;98503;97027;98236;98048;98053;98185;96807;96829

input6;128834;130378;130908;129955;131933;132761;135241;131733;133029
;128697;127607;126794;128763;132918;128714;130928;132169;129847
;130848;129055;127767;127584;134206;129779;130242;128493;133928
;127923;128472;129603;130599;131737;130506;130849;132069;132957
;129882;129245;128534;131224;127449;129809;129531;129524;130594
;126557;129404;128279;132565;131635;129556;130098;132508;127257
;131229;128704;130523;128882;131598;130231;128687;131487;133295
;133085;130394;128801;129462;128002;130024;131133;131065;131471
;132318;131297;132805;128072;128414;129898;131708;129807;132072

input7;120274;121843;122039;121516;124649;123116;123391;123780;123053
;120861;121439;120870;121800;121562;119743;124447;124398;124274
;121957;121522;120677;124583;123434;122951;121637;121532;122893
;123577;120711;121271;123756;124368;122676;122357;124264;124451
;123004;123634;122588;120430;123329;120429;121918;124281;121939
