**** 66 ****
100
48;42;1;2;131
74;10;1;2;104
92;47;1;2;154
74;78;1;2;164
93;31;1;2;183
48;36;1;2;96
36;21;1;2;171
21;7;1;2;60
3;22;1;2;87
72;72;1;2;169
22;71;1;2;62
5;44;1;2;71
61;88;1;2;117
15;61;1;2;46
79;5;1;2;76
15;52;1;2;164
11;39;1;2;84
82;60;1;2;42
94;14;1;2;163
82;85;1;2;86
51;58;1;2;157
13;14;1;2;152
84;74;1;2;39
1;40;1;2;51
48;19;1;2;7
76;33;1;2;158
40;95;1;2;97
76;77;1;2;108
18;70;1;2;121
34;51;1;2;57
20;53;1;2;67
29;65;1;2;32
82;100;1;2;58
73;53;1;2;97
77;100;1;2;67
84;27;1;2;151
43;67;1;2;46
92;42;1;2;74
52;12;1;2;95
25;45;1;2;46
34;16;1;2;150
1;45;1;2;167
86;78;1;2;166
44;2;1;2;18
93;78;1;2;169
61;62;1;2;96
12;56;1;2;114
10;99;1;2;107
84;2;1;2;118
80;26;1;2;14
78;59;1;2;130
28;12;1;2;126
95;97;1;2;3
14;92;1;2;104
32;84;1;2;82
54;96;1;2;95
50;8;1;2;102
16;69;1;2;152
23;53;1;2;153
42;84;1;2;178
8;13;1;2;188
38;40;1;2;99
64;87;1;2;95
19;52;1;2;186
24;83;1;2;22
58;36;1;2;117
5;37;1;2;176
7;52;1;2;45
11;75;1;2;149
64;68;1;2;184
94;75;1;2;196
82;65;1;2;87
34;80;1;2;25
29;99;1;2;176
68;74;1;2;159
90;31;1;2;46
59;87;1;2;135
36;45;1;2;186
33;55;1;2;12
82;70;1;2;131
66;63;1;2;158
14;96;1;2;174
1;29;1;2;153
27;58;1;2;3
3;77;1;2;76
14;18;1;2;158
13;76;1;2;144
48;63;1;2;40
86;95;1;2;94
99;28;1;2;163
82;45;1;2;25
40;58;1;2;173
14;59;1;2;0
20;85;1;2;110
23;39;1;2;86
52;53;1;2;55
62;65;1;2;31
59;12;1;2;45
99;97;1;2;40
46;47;1;2;19

1;1;29;2113
2;1;37;5869
*** EOF ***
