**** 62 ****
100
64;39;1;2;71
94;64;1;2;179
94;66;1;2;87
25;66;1;2;168
98;4;1;2;185
16;80;1;2;98
61;95;1;2;94
93;57;1;2;43
34;1;1;2;85
6;53;1;2;157
21;68;1;2;47
92;61;1;2;110
71;6;1;2;128
11;30;1;2;193
31;28;1;2;149
16;95;1;2;128
66;55;1;2;22
60;47;1;2;78
3;33;1;2;130
88;38;1;2;183
97;58;1;2;150
44;2;1;2;63
7;24;1;2;68
87;34;1;2;98
32;16;1;2;77
81;83;1;2;171
9;48;1;2;177
83;8;1;2;123
14;62;1;2;7
44;2;1;2;44
79;50;1;2;54
82;46;1;2;155
45;52;1;2;78
13;90;1;2;64
63;21;1;2;79
92;54;1;2;62
63;14;1;2;61
92;97;1;2;68
68;62;1;2;182
75;5;1;2;183
20;36;1;2;132
26;17;1;2;77
81;61;1;2;80
11;25;1;2;21
75;40;1;2;94
7;31;1;2;47
69;46;1;2;160
30;37;1;2;8
51;4;1;2;21
85;79;1;2;26
68;50;1;2;13
52;75;1;2;29
82;7;1;2;41
14;17;1;2;117
36;44;1;2;156
30;50;1;2;187
29;18;1;2;84
41;99;1;2;120
2;1;1;2;76
23;85;1;2;0
1;4;1;2;155
14;8;1;2;81
43;41;1;2;187
36;6;1;2;103
54;41;1;2;198
10;22;1;2;47
49;2;1;2;16
85;43;1;2;15
6;44;1;2;167
34;66;1;2;104
40;19;1;2;159
47;32;1;2;66
28;27;1;2;158
15;62;1;2;164
70;67;1;2;56
69;29;1;2;130
68;77;1;2;31
85;62;1;2;73
52;19;1;2;168
19;4;1;2;186
75;43;1;2;104
35;89;1;2;135
1;68;1;2;13
12;34;1;2;75
76;55;1;2;141
84;75;1;2;169
14;43;1;2;98
46;27;1;2;11
71;30;1;2;181
92;100;1;2;84
78;75;1;2;78
34;9;1;2;118
21;61;1;2;85
35;72;1;2;118
10;99;1;2;24
3;83;1;2;99
25;48;1;2;141
75;45;1;2;119
38;16;1;2;48
19;59;1;2;199

1;1;33;1978
2;1;36;3507
*** EOF ***
